p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16
If	If	If	If	If	If	If	If	If	If	If	If	If	If	If	If
vaccilation	vacillation	vacillation	vaccilation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation
dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell
with	with	with	with	with	within	with	with	with	with	with	with	with	with	with	with
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
heart,	heart	heat	heart,	heart	heart	heat	heart	heat	heart	heart	heart	heart	heart	heart	heart
		of													
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul
will	will	will	will	will	will	will	will	will	will	will	will	will	will	will	will
see	rue	rue	see	use	rue	rue	rue	rue	rue	rue	rue	rue	rue	rue	rue
it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.
Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
honour	honour	honour	honour	horror	honour	honour	honour	honour	honour	honour	honour	honour	honour	honour	honour
clash	clash	dash	clash	clash	clash	dash	clash	clash	clash	clash	clas	clas	clash	clash	clash
with	where	where	with	where	where	where	where	where	where	where	where	where	where	where	where
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	carage	courage	courage	courage	courage
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
a	a	a	a		a	a	a	a		a	a	a	a	a	a
steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast.
man	man	man	man	man	man	man	man	man	man	man	man	man	man	man	man
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
motley	motley	motle	motley	motley	motley	motlely	motley	motlely	motley	motley	motley	motley	motley	motley	motley
