n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13
Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre
besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin
de	de	de	de	de	de	de	de	de	de	de	de	de
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
est	est	est	est	est	est	est	est	est	est	est	est	est
impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible
à	à	à	à	à	à	à	à	à	à	à	à	à
rassasier	rassasier	rassasier	rassasier	rassasier	rassasier	rassasier	rassassier	rassasier	rassasier	rassasier	rassasier	rassasier
		de	de		de		de	de	de	de	de	
Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig
Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman
												
Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu
de	de	de	de	de	de	de	de	de	de	de	de	de
foi	foi	foi	foi	foi	foi	foi	foi	foi	foi	foi	foi	foi
et	et	et	et	et	et	et	et	et	et	et	et	et
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
puis	puis	puis	puis	puis	puis	puis	puis	puis	puis	puis	puis	puis
donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc
être	être	être	être	être	être	être	être	être	être	être	être	être
heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,
car	car	car	car	car	car	car	car	car	car	car	car	car
un	un	un	un	un	un	un	un	un	un	un	un	un
homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
risque	risque	risque	risque	risque	risque	risque	risque	risque	risque	risque	risque	risque
de	de	de	de	de	de	de	de	de	de	de	de	de
craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre
que	que	que	que	que	que	que	que	que	que	que	que	que
sa	sa	sa	sa	sa	sa	sa	sa	sa	sa	sa	sa	sa
vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
soit	soit	soit	soit	soit	soit	soit	soit	soit	soit	soit	soit	soit
									un	un		
errance	errance	errance	errance	errance	errance	errance	errance	errance	errance	errance	errance	errance
